,ID1_G,ID2_G,ID_T_G,ID_R_G,Winner
335,748,7317,13161,3,7317
336,23155,11492,13161,3,11492
337,7732,14894,13224,12,14894
338,9229,14965,13161,3,9229
339,29943,11742,13239,4,11742
340,8308,26143,13239,4,26143
341,12226,18089,13239,4,18089
342,20653,25482,13159,3,25482
343,30931,30607,13237,4,30931
344,14892,26144,13239,4,26144
345,27116,34538,13239,4,34538
346,8812,25172,13239,4,8812
347,17365,13967,13239,4,17365
348,563,1181,12816,4,1181
349,1266,1049,12817,3,1266
350,854,5129,12817,3,5129
351,427,7772,12817,3,7772
352,8722,34103,13158,4,34103
353,24711,651,13159,3,651
354,10971,14530,13159,3,14530
355,29894,28988,13160,3,29894
356,10505,11310,13160,3,11310
357,30856,34539,13160,3,30856
358,25927,24297,13237,4,25927
359,22426,20764,13237,4,22426
360,30537,25926,13237,4,30537
361,22992,23308,13240,4,22992
362,31726,18770,13240,4,18770
363,40857,47343,12816,4,40857
364,578,5127,12816,4,5127
365,6225,7393,12817,3,7393
366,7484,39163,12817,4,7484
367,12594,26922,13157,4,12594
368,9658,6817,13158,4,6817
369,14477,22428,13159,3,22428
370,30589,49917,13159,4,49917
371,23142,1264,13159,4,1264
372,16433,882,13160,3,882
373,13048,23129,13160,4,13048
374,13957,13269,13160,4,13269
375,23155,7462,13161,4,7462
376,16994,3316,13161,4,3316
377,39441,34537,13236,4,34537
378,21762,25337,13236,4,21762
379,26009,17741,13236,4,17741
380,12588,27185,13236,4,12588
381,33439,27778,13236,4,33439
382,24945,32877,13236,4,24945
383,26221,24225,12816,4,24225
384,10995,27111,12816,4,10995
385,9488,5136,12817,4,5136
386,44320,46765,13157,4,44320
387,14606,4461,13157,4,4461
388,10590,20648,13158,4,20648
389,11683,12587,13158,4,12587
390,5838,21329,13158,4,5838
391,24245,1003,13159,4,1003
392,13032,11701,13159,4,11701
393,9259,13617,13160,4,9259
394,3054,7895,13160,4,3054
395,29939,4149,13161,4,4149
396,18016,6831,13161,4,6831
397,13608,24797,13238,4,24797
398,1886,13626,13238,4,13626
399,13398,26319,13238,4,13398
400,24533,36174,13240,4,24533
401,11332,28607,13240,4,11332
402,29721,19879,13241,4,19879
403,26473,14738,13241,4,26473
404,17250,46776,13241,4,17250
405,3754,35184,13241,4,3754
406,23082,14959,13241,4,14959
407,4061,2904,12816,4,4061
408,745,6002,12817,4,6002
409,5961,11981,13157,4,5961
410,49902,36978,13158,4,49902
411,17928,10813,13160,4,17928
412,13445,36397,13160,4,13445
413,30577,24307,13161,4,30577
414,6962,7970,13157,4,7970
415,23298,25533,13158,4,25533
416,18475,24877,13161,4,24877
417,11881,1747,13157,4,11881
418,29665,18627,13233,4,29665
419,22235,36519,13233,4,22235
420,32977,33904,13233,4,33904
421,27777,29954,13236,4,29954
422,9493,18778,13236,4,9493
423,37004,13073,13236,4,13073
424,8555,7511,13236,4,7511
425,18338,21332,13236,4,18338
426,29672,7234,13238,4,7234
427,24721,32225,13238,4,24721
428,28302,12767,13239,4,12767
429,50143,13268,13239,4,13268
430,13940,23087,13239,4,13940
431,10971,23748,13159,4,23748
432,13765,14477,13159,4,13765
433,17005,20652,13236,4,17005
434,13069,36934,13236,4,13069
435,27113,25539,13236,4,25539
436,31120,29257,13236,4,29257
437,10920,6399,13236,4,6399
438,28763,32729,13239,4,32729
439,29256,23331,13239,4,23331
440,8662,11797,13239,4,8662
441,6080,7757,12816,4,7757
442,22807,6458,12816,4,6458
443,8313,4964,12816,4,4964
444,29932,6225,12817,4,6225
445,854,7295,12817,4,7295
446,14982,17964,13157,4,17964
447,935,19474,13158,4,935
448,20654,11438,13158,4,11438
449,22437,9153,13159,4,9153
450,10828,13987,13159,4,10828
451,29372,6642,13159,4,6642
452,33502,4008,13159,4,4008
453,10507,8721,13160,4,8721
454,41724,52016,13160,4,52016
455,22429,9243,13160,4,9243
456,22430,9997,13239,4,22430
457,961,9094,12816,4,9094
458,41095,24740,12816,4,24740
459,7806,791,12816,4,791
460,9831,20193,12817,4,20193
461,13429,12190,12817,4,12190
462,427,3492,12817,4,3492
463,10202,27482,13157,4,10202
464,11489,23299,13157,4,11489
465,20542,13348,13157,4,13348
466,20651,9516,13158,4,9516
467,13209,4454,13158,4,4454
468,5083,18524,13159,4,5083
469,21623,28296,13159,4,28296
470,25543,23147,13159,4,25543
471,7801,36063,13160,4,7801
472,22439,30856,13160,4,30856
473,41123,37243,13160,4,41123
474,13796,10505,13160,4,13796
475,16433,4236,13160,4,4236
476,9305,13968,13161,4,9305
477,18485,20099,13161,4,20099
478,12921,13576,13161,4,13576
479,762,11521,13161,4,762
480,4003,10320,13161,4,4003
481,7889,6254,13161,4,6254
482,43950,22280,13235,4,22280
483,25758,8858,13235,4,8858
484,29380,35086,13235,4,35086
485,21826,6694,13235,4,6694
486,23315,23240,13237,4,23240
487,36449,36275,13240,4,36449
488,18766,30473,13240,4,30473
489,27747,22459,13240,4,27747
490,29732,14561,13241,4,14561
491,21631,30741,13241,4,21631
492,8216,29719,13241,4,8216
493,29780,36118,13241,4,36118
494,685,6081,12816,4,685
495,6465,11953,12817,4,6465
496,17357,838,13157,4,838
497,22189,14814,13157,4,14814
498,20655,3992,13158,4,3992
499,12614,21506,13158,4,12614
500,7345,641,13159,4,641
501,2179,12491,13159,4,2179
502,20653,24711,13159,4,20653
503,4146,29894,13160,4,4146
504,9839,25795,13160,4,9839
505,13674,18771,13160,4,13674
506,25863,29050,13237,4,29050
507,29353,17747,13237,4,29353
508,14861,17004,13237,4,14861
509,15067,12316,13238,4,15067
510,20285,14621,13238,4,14621
511,21254,8515,13238,4,8515
512,37003,29262,13238,4,37003
513,26061,18122,13238,4,18122
514,13101,26504,13243,4,13101
515,30102,22798,13243,4,22798
516,17358,48643,13243,4,17358
517,1576,19962,12816,4,19962
518,75,468,12817,4,468
519,678,14727,12817,4,14727
520,17359,3639,13157,4,3639
521,26218,10404,13157,4,26218
522,7818,12534,13158,4,7818
523,29935,21548,13158,4,21548
524,9043,23075,13159,4,9043
525,50925,24429,13160,4,24429
526,1113,13820,13160,4,1113
527,3996,748,13161,4,748
528,8753,11517,13161,4,11517
529,18484,1742,13234,4,1742
530,22773,3818,13234,4,3818
531,10593,12000,13234,4,10593
532,11352,26228,13234,4,11352
533,10292,28267,13234,4,10292
534,3694,25922,13234,4,3694
535,22069,20700,13234,4,22069
536,13963,28812,13237,4,13963
537,14616,28813,13237,4,14616
538,28898,26149,13241,4,28898
539,26602,11941,13241,4,11941
540,46752,13758,13241,4,13758
541,1266,26421,12817,4,1266
542,14177,4009,12817,4,4009
543,47827,39803,13158,4,47827
544,14609,650,13158,4,650
545,23235,49910,13161,4,23235
546,9842,8396,13161,4,9842
547,22433,9584,13161,4,9584
548,31200,24757,13243,4,24757
549,14479,26947,13243,4,14479
550,24084,619,13157,4,619
551,23550,20100,13157,4,23550
552,9229,11492,13161,4,9229
553,26313,7451,13158,4,7451
554,2123,20396,13157,4,2123
555,10203,21431,13233,4,10203
556,24849,18669,13233,4,24849
557,18504,20133,13233,4,18504
558,25368,39309,13233,4,39309
559,14108,8818,13233,4,14108
560,18136,21189,13233,4,21189
561,12222,31199,13233,4,12222
562,1930,27783,13233,4,1930
563,7455,10206,13233,4,7455
564,14588,20559,13233,4,14588
565,31358,28684,13233,4,28684
566,29663,13031,13233,4,13031
567,18612,8517,13233,4,8517
568,14126,13722,13234,4,13722
569,17005,27777,13236,5,17005
570,13069,21762,13236,5,13069
571,26009,12588,13236,5,12588
572,31120,8555,13236,5,8555
573,8308,13940,13239,5,8308
574,12226,4019,13239,5,12226
575,13844,5993,13242,4,13844
576,19882,25000,13242,4,25000
577,13592,11005,13242,4,11005
578,29829,33298,13242,4,33298
579,29814,24247,13242,4,29814
580,9493,39441,13236,5,9493
581,33439,18338,13236,5,18338
582,24945,10920,13236,5,10920
583,22235,36333,13255,5,22235
584,15075,32856,13255,5,15075
585,14465,17972,13257,4,14465
586,21397,26211,13257,4,21397
587,12194,9941,13257,4,9941
588,20650,11923,12818,4,11923
589,4009,4003,12818,5,4003
590,791,7393,12818,5,7393
591,5837,6465,12819,4,5837
592,11178,7806,12819,5,7806
593,26218,14606,13162,5,14606
594,7451,14814,13165,5,14814
595,12587,11438,13165,5,11438
596,22807,9839,13166,4,9839
597,26313,13964,13246,4,26313
598,28265,22479,13248,5,28265
599,17967,21530,13248,5,21530
600,20133,12936,13248,5,12936
601,18155,28586,13248,5,28586
602,24849,25757,13248,5,24849
603,28108,34103,13248,5,34103
604,1930,23072,13248,5,1930
605,8722,21392,13253,5,8722
606,17830,34375,13253,5,34375
607,33860,14130,13253,5,14130
608,20080,29967,13257,4,29967
609,20418,19567,13257,4,19567
610,34447,15973,12819,4,34447
611,6101,728,12819,5,728
612,20104,31392,13162,5,20104
613,6831,16994,13166,4,6831
614,25171,14891,13166,4,14891
615,12534,12921,13166,4,12534
616,854,8806,12818,5,8806
617,21097,23003,12818,4,23003
618,22323,8440,13247,5,8440
619,12276,38876,13247,5,12276
620,30230,10713,13247,5,30230
621,28171,29594,13256,4,28171
622,8515,33652,13256,4,8515
623,26627,28860,13256,4,26627
624,21431,34964,13256,4,21431
625,14588,10206,13256,4,14588
626,26706,27357,13257,4,26706
627,9109,27012,13257,4,9109
628,11362,28077,13244,5,28077
629,9652,28074,13244,5,28074
630,4362,16999,13244,5,16999
631,13722,1128,13245,4,13722
632,10593,22069,13245,4,10593
633,12662,43949,13245,4,12662
634,25922,27537,13245,4,25922
635,5103,30978,13245,4,5103
636,1742,14126,13245,4,1742
637,11352,37220,13245,4,11352
638,19910,18484,13245,4,19910
639,14749,22897,13247,5,14749
640,12938,34968,13247,5,12938
641,30087,24841,13247,5,24841
642,17741,27114,13249,5,27114
643,18338,8812,13249,5,8812
644,9493,33439,13249,5,33439
645,23462,17831,13249,5,17831
646,10051,12535,13250,5,10051
647,17357,31859,13250,5,31859
648,11948,40187,13250,5,11948
649,14543,1953,13250,5,1953
650,11742,26144,13251,5,11742
651,51081,13940,13251,5,51081
652,8662,28302,13251,5,8662
653,30748,29943,13251,5,29943
654,29151,12767,13251,5,12767
655,21499,30221,13256,4,21499
656,22906,23575,13258,4,22906
657,24240,46955,13258,4,24240
658,20896,24955,13258,4,24955
659,33154,18368,13258,4,18368
660,7988,7302,13244,5,7302
661,12031,28742,13244,5,28742
662,27113,6399,13249,5,6399
663,39863,27116,13251,5,27116
664,17365,48871,13251,5,17365
665,28296,20653,13164,5,20653
666,34538,20548,13244,5,34538
667,21506,11489,13162,5,11489
668,28073,12852,13164,5,12852
669,23142,4025,13164,5,4025
670,5838,11683,13165,5,5838
671,678,655,12818,5,655
672,43019,35338,12818,9,43019
673,20694,12195,13162,5,20694
674,13957,641,13163,9,641
675,6458,13048,13163,9,6458
676,882,12614,13165,5,882
677,22433,1718,13166,5,1718
678,26009,12588,13249,5,12588
679,10920,14527,13249,5,14527
680,11226,1266,12818,5,1266
681,14891,20548,12981,2,14891
682,748,20547,12981,2,748
683,21177,16999,12981,2,16999
684,22433,20655,12976,12,20655
685,763,3694,12981,2,3694
686,10920,28077,12981,2,28077
687,13576,28742,12981,2,13576
688,13963,13637,12982,2,13637
689,14530,2107,12982,2,2107
690,25160,5884,12982,2,5884
691,22979,11928,12982,2,22979
692,24429,51718,12977,12,51718
693,9652,20290,12981,2,9652
694,6228,23815,12981,2,6228
695,8741,24003,12982,2,8741
696,13898,17904,12982,2,13898
697,14479,21105,12982,2,14479
698,49879,21097,12809,12,21097
699,5961,12190,12810,3,12190
700,9305,5058,12977,12,5058
701,19474,30856,12978,12,30856
702,24849,13797,12980,2,13797
703,13800,13683,12980,2,13800
704,18338,9687,13118,12,9687
705,11224,28898,13119,12,28898
706,20193,3316,12810,3,3316
707,21506,6081,12810,3,6081
708,8722,18155,12980,2,8722
709,23183,9658,12980,2,9658
710,8517,10550,12980,2,10550
711,29159,27358,13123,12,27358
712,9109,26236,13124,12,26236
713,14407,29130,12807,12,29130
714,678,20650,12809,12,678
715,427,1035,12810,3,1035
716,3492,9043,12810,3,9043
717,14727,75,12810,3,75
718,3992,9517,12980,2,9517
719,6528,24840,12980,2,24840
720,27084,26900,12980,2,26900
721,13674,22428,12983,3,13674
722,26922,11816,12983,3,11816
723,17829,11953,12808,12,11953
724,13429,2904,12810,3,2904
725,672,1042,12810,4,672
726,20396,17964,12983,3,17964
727,10500,16996,12983,3,16996
728,28895,882,13115,12,882
729,4045,14432,12807,12,4045
730,7452,11178,12810,4,11178
731,2034,7286,12982,2,7286
732,52002,24662,12808,12,52002
733,763,9652,12981,3,763
734,14891,10920,12981,3,14891
735,748,21177,12981,3,748
736,12544,22560,13125,12,22560
737,6228,13576,12981,3,6228
738,775,28763,12981,4,775
739,18475,4025,12981,4,4025
740,9831,11009,12981,4,11009
741,8741,13898,12982,3,13898
742,14479,22979,12982,3,22979
743,4149,28762,12981,4,4149
744,14530,13963,12982,3,13963
745,2034,25160,12982,3,2034
746,22437,21949,12982,4,22437
747,8722,27084,12980,3,27084
748,23183,24849,12980,3,24849
749,13800,8517,12980,3,8517
750,5127,28074,12981,4,5127
751,28296,17903,12982,4,28296
752,27783,38550,13130,4,38550
753,23317,42475,13130,4,23317
754,28774,38339,13131,4,28774
755,468,7540,12810,4,468
756,4010,4009,12810,4,4009
757,6528,3992,12980,3,3992
758,10828,18422,12982,4,10828
759,18524,7317,12982,4,7317
760,29040,30600,13126,4,29040
761,7451,30601,13126,4,7451
762,17018,14534,13126,4,17018
763,19946,13160,13126,4,19946
764,18100,27747,13126,4,18100
765,18484,26213,13131,4,18484
766,8216,28854,13131,4,8216
767,31900,35225,13131,4,31900
768,11704,7127,12810,4,11704
769,13799,7295,12810,4,7295
770,3492,918,12810,4,918
771,25533,4236,12980,4,4236
772,52003,50653,12980,4,50653
773,12534,6431,12980,4,6431
774,20396,10500,12983,4,10500
775,13277,4461,12983,4,4461
776,20847,9839,12983,4,9839
777,36821,18627,13136,4,18627
778,26471,50910,13136,4,26471
779,41961,17968,13136,4,41961
780,36470,30467,13136,4,36470
781,674,21506,12810,4,674
782,11923,578,12810,4,578
783,619,7462,12983,4,619
784,21623,8858,13126,4,21623
785,11309,29889,13126,4,11309
786,20193,11226,12810,4,11226
787,2179,20654,12980,4,2179
788,13608,25818,13127,4,13608
789,20702,24247,13129,4,20702
790,427,9094,12810,4,9094
791,4061,14727,12810,4,4061
792,673,961,12810,4,673
793,14967,12498,13127,4,12498
794,38876,7732,13127,4,7732
795,23012,3586,13127,4,3586
796,13764,2034,12982,4,2034
797,19584,5904,12982,4,5904
798,12852,7803,12982,4,7803
799,13968,9833,12981,4,9833
800,763,14891,12981,4,14891
801,9842,748,12981,4,748
802,7393,12921,12981,4,7393
803,17788,9488,12981,4,9488
804,18016,745,12981,4,745
805,1266,12587,12981,4,1266
806,23142,14479,12982,4,14479
807,17289,36449,12982,4,36449
808,7345,14606,12982,4,7345
809,13963,14410,12982,4,13963
810,38230,19037,12980,4,38230
811,935,13800,12980,4,935
812,20651,1113,12980,4,1113
813,9243,1936,12980,4,1936
814,5058,26059,12981,4,5058
815,6228,8313,12981,4,8313
816,9305,1264,12981,4,1264
817,1576,8741,12982,4,1576
818,13032,18504,12982,4,18504
819,23550,10844,12982,4,10844
820,25543,23748,12982,4,25543
821,18017,11701,12983,4,11701
822,26922,11521,12983,4,11521
823,29935,13674,12983,4,13674
824,9229,22439,12983,4,9229
825,891,47021,13129,4,891
826,42971,18477,13129,4,18477
827,26503,22445,13129,4,22445
828,30856,21883,13129,4,30856
829,23643,21893,13136,4,23643
830,11202,11941,13136,4,11941
831,20809,17929,13136,4,20809
832,1837,5961,12810,4,5961
833,22434,9471,12810,4,9471
834,5917,7459,12810,4,7459
835,17474,12043,12810,4,12043
836,4146,8722,12980,4,4146
837,6528,7818,12980,4,7818
838,13048,23183,12980,4,13048
839,28073,1569,12981,4,1569
840,38360,34868,12982,4,38360
841,49917,47036,12982,4,47036
842,38524,45277,12982,4,38524
843,24429,42984,12982,4,42984
844,3996,10404,12983,4,3996
845,7805,3676,12983,4,7805
846,13269,16994,12983,4,13269
847,14530,9153,12982,4,9153
848,7984,29275,13131,4,7984
849,28685,26890,13131,4,26890
850,20100,19857,13131,4,20100
851,33648,17972,13131,4,33648
852,29262,28990,13131,4,29262
853,8515,41089,13131,4,8515
854,18748,6694,13134,4,18748
855,36045,26756,13134,4,36045
856,25451,26600,13134,4,26600
857,10990,26835,13134,4,10990
858,29814,10288,13134,4,10288
859,23147,31458,13135,4,23147
860,24932,31455,13135,4,24932
861,28684,14884,13135,4,14884
862,12452,12936,13136,4,12452
863,37003,21631,13136,4,21631
864,30375,31869,13136,4,30375
865,18771,31348,13137,4,18771
866,29721,24397,13138,4,24397
867,22430,22892,13138,4,22430
868,3577,678,12810,4,678
869,4067,11522,12810,4,11522
870,6465,20650,12810,4,6465
871,13429,655,12810,4,655
872,3054,9584,12980,4,9584
873,875,13209,12980,4,875
874,9878,39067,12980,4,39067
875,1672,23298,12980,4,1672
876,20465,28492,12983,4,20465
877,29457,6458,12983,4,6458
878,52016,36422,12983,4,52016
